time,open,high,low,close,volume,ma5,range,target,bull,ror,hpr,dd
2013-12-27 00:00:00,737000.0,755000.0,737000.0,755000.0,3.78,,9000.0,,False,1.0,1.0,0.0
2013-12-28 00:00:00,750000.0,750000.0,750000.0,750000.0,12.0,,0.0,759000.0,False,1.0,1.0,0.0
2013-12-29 00:00:00,750000.0,750000.0,728000.0,739000.0,19.058,,11000.0,750000.0,False,1.0,1.0,0.0
2013-12-30 00:00:00,740000.0,772000.0,740000.0,768000.0,9.488973,,16000.0,751000.0,False,1.0194364846870838,1.0194364846870838,0.0
2013-12-31 00:00:00,768000.0,800000.0,763000.0,768000.0,18.65035033,,18500.0,784000.0,False,0.9763918367346939,0.9953694617179814,2.360816326530616
2014-01-01 00:00:00,768000.0,795000.0,765000.0,777000.0,65.38033381,756000.0,15000.0,786500.0,True,0.9847211697393515,0.9801613806657593,3.8526288406658318
2014-01-02 00:00:00,776000.0,788000.0,773000.0,778000.0,83.20397752,760400.0,7500.0,791000.0,True,1.0,0.9801613806657593,3.8526288406658318
2014-01-03 00:00:00,778000.0,840000.0,774000.0,834000.0,124.33029182,766000.0,33000.0,785500.0,True,1.0585441120305537,1.0375440583434776,0.0
2014-01-04 00:00:00,831000.0,846000.0,819000.0,846000.0,107.75704665,785000.0,13500.0,864000.0,True,1.0,1.0375440583434776,0.0
2014-01-05 00:00:00,846000.0,925000.0,845000.0,925000.0,140.70979378,800600.0,40000.0,859500.0,True,1.0730070971495054,1.113292138207852,0.0
2014-01-06 00:00:00,928000.0,1050000.0,920000.0,1010000.0,222.72262804,832000.0,65000.0,968000.0,True,1.040188429752066,1.1580336010977457,0.0
2014-01-07 00:00:00,1001000.0,1026000.0,900000.0,935000.0,169.05011477,878600.0,63000.0,1066000.0,True,1.0,1.1580336010977457,0.0
2014-01-08 00:00:00,935000.0,960000.0,825000.0,897000.0,194.55961145,910000.0,67500.0,998000.0,True,1.0,1.1580336010977457,0.0
2014-01-09 00:00:00,880000.0,909000.0,860000.0,865000.0,140.51522769,922600.0,24500.0,947500.0,False,1.0,1.1580336010977457,0.0
2014-01-10 00:00:00,875000.0,905000.0,862000.0,890000.0,126.60366906,926400.0,21500.0,899500.0,False,0.9862385769872152,1.142097410850021,1.3761423012784857
2014-01-11 00:00:00,889000.0,950000.0,880000.0,932000.0,144.63517814,919400.0,35000.0,910500.0,False,1.0204133992311915,1.1654115012586126,0.0
2014-01-12 00:00:00,935000.0,952000.0,904000.0,910000.0,129.84153237,903800.0,24000.0,970000.0,True,1.0,1.1654115012586126,0.0
2014-01-13 00:00:00,920000.0,925000.0,872000.0,881000.0,105.8332088,898800.0,26500.0,944000.0,True,1.0,1.1654115012586126,0.0
2014-01-14 00:00:00,877000.0,905000.0,872000.0,874000.0,119.62287814,895600.0,16500.0,903500.0,False,0.9641491975650249,1.1236305637715425,3.5850802434974987
2014-01-15 00:00:00,889000.0,918000.0,875000.0,905000.0,138.06056544,897400.0,21500.0,905500.0,False,0.9962478188845941,1.119414498389466,3.946846484651218
2014-01-16 00:00:00,895000.0,940000.0,892000.0,910000.0,216.14782104,900400.0,24000.0,916500.0,False,0.9897078014184397,1.107893262076964,4.935444615016287
2014-01-17 00:00:00,904000.0,913000.0,872000.0,885000.0,201.18492756,896000.0,20500.0,928000.0,True,1.0,1.107893262076964,4.935444615016287
2014-01-18 00:00:00,888000.0,906000.0,868000.0,885000.0,133.53712889,891000.0,19000.0,908500.0,False,1.0,1.107893262076964,4.935444615016287
2014-01-19 00:00:00,887000.0,899000.0,870000.0,893000.0,147.45643678,891800.0,14500.0,906000.0,False,1.0,1.107893262076964,4.935444615016287
2014-01-20 00:00:00,893000.0,914000.0,890000.0,898000.0,198.08278124,895600.0,12000.0,907500.0,False,0.9863316804407714,1.0927502229333796,6.234817336774243
2014-01-21 00:00:00,898000.0,906000.0,891000.0,899000.0,204.65155445,894200.0,7500.0,910000.0,True,1.0,1.0927502229333796,6.234817336774243
2014-01-22 00:00:00,895000.0,904000.0,891000.0,892000.0,228.7038422,892000.0,6500.0,902500.0,True,0.9851656509695291,1.076539984723261,7.625762783306388
2014-01-23 00:00:00,895000.0,898000.0,886000.0,888000.0,223.74829689,893400.0,6000.0,901500.0,True,1.0,1.076539984723261,7.625762783306388
2014-01-24 00:00:00,891000.0,891000.0,848000.0,870000.0,358.41597676,894000.0,21500.0,897000.0,False,1.0,1.076539984723261,7.625762783306388
2014-01-25 00:00:00,864000.0,874000.0,858000.0,870000.0,192.06581564,889400.0,8000.0,885500.0,False,1.0,1.076539984723261,7.625762783306388
